index,list_price,play_star_rating,prod_id,set_name,star_rating
271,18.186,4.5,31058.0,Mighty Dinosaurs,4.7
272,33.552,5.0,10743.0,Smokey's Garage,4.5
273,22.7924,5.0,60180.0,Monster Truck,5.0
274,18.2878,4.5,70900.0,The Joker™ Balloon Escape,4.7
275,285.87,3.9,75060.0,Slave I,4.8
276,34.986,4.0,31080.0,Modular Winter Vacation,3.5
277,30.4878,4.7,10736.0,Anna & Elsa's Frozen Playground,4.7
278,24.3878,4.1,70629.0,Piranha Attack,3.6
279,36.5878,4.6,10696.0,LEGO® Medium Creative Brick Box,4.6
280,365.939,4.3,21137.0,The Mountain Cave,4.5
281,36.5878,4.2,70610.0,Flying Jelly Sub,4.6
282,85.3878,4.2,75185.0,Tracker I,4.3
283,35.092200000000005,4.1,21314.0,TRON: Legacy,4.4
284,11.99,4.0,71218.0,LEGO® DIMENSIONS™ Gollum Fun Pack,4.3
285,9.3522,2.0,40271.0,Easter Bunny,5.0
286,18.186,4.8,75884.0,1968 Ford Mustang Fastback,4.9
287,48.7878,5.0,42075.0,First Responder,5.0
288,48.7878,4.6,70611.0,Water Strider,4.5
289,27.2922,4.4,75208.0,Yoda's Hut,4.6
290,853.9878,4.7,2000430.0,Identity and Landscape Kit,4.6
291,121.9878,5.0,41318.0,Heartlake Hospital,4.8
292,79.99,4.6,70656.0,"garmadon, Garmadon, GARMADON!",4.9
293,50.898,4.5,75927.0,Stygimoloch Breakout,5.0
294,189.0878,4.7,10243.0,Parisian Restaurant,4.9
295,12.4722,4.3,75821.0,Piggy Car Escape,4.3
296,36.5878,5.0,41145.0,Ariel and the Magical Spell,5.0
297,29.99,4.6,70611.0,Water Strider,4.5
298,12.1878,3.2,40270.0,Valentine's Bee,4.9
299,49.6929,4.3,60153.0,People pack – Fun at the beach,4.1
300,9.99,3.6,41593.0,Captain Jack Sparrow,4.8
301,86.9971,4.8,75172.0,Y-Wing Starfighter™,4.7
302,29.887,4.3,60158.0,Jungle Cargo Helicopter,4.4
303,30.4878,5.0,41319.0,Snow Resort Hot Chocolate Van,4.0
304,12.4722,4.6,42044.0,Display Team Jet,4.6
305,19.5078,4.8,75884.0,1968 Ford Mustang Fastback,4.9
306,69.5278,4.5,41187.0,Rosalyn's Healing Hideout,4.3
307,30.439,4.4,60137.0,Tow Truck Trouble,4.3
308,12.1878,4.0,40307.0,Castle Interior Kit,5.0
309,487.939,4.4,31313.0,LEGO® MINDSTORMS® EV3,4.3
310,89.8971,5.0,60169.0,Cargo Terminal,5.0
311,13.0471,5.0,70637.0,Cole - Spinjitzu Master,5.0
312,158.58780000000004,4.1,76087.0,Flying Fox: Batmobile Airlift Attack,3.7
313,109.7878,4.4,70923.0,The Bat-Space Shuttle,4.8
314,29.99,4.5,75209.0,Han Solo's Landspeeder™,4.8
315,283.9929,4.2,10214.0,Tower Bridge,4.8
316,76.752,3.3,41324.0,Snow Resort Ski Lift,3.7
317,24.3878,4.3,60164.0,Sea Rescue Plane,4.3
318,60.9878,3.6,21308.0,Adventure Time™,3.3
319,20.7278,5.0,21138.0,The Melon Farm,4.3
320,91.4878,5.0,41317.0,Sunshine Catamaran,4.5
321,31.192200000000003,4.5,76098.0,Speed Force Freeze Pursuit,4.8
322,30.439,3.0,41614.0,Owen & Blue,5.0
323,37.9924,3.6,70919.0,The Justice League™ Anniversary Party,3.2
324,21.9478,2.9,7499.0,Flexible and Straight Tracks,2.5
325,19.5078,3.8,75197.0,First Order Specialists Battle Pack,4.1
326,6.0878000000000005,4.5,10708.0,Green Creativity Box,4.8
327,39.99,4.3,60153.0,People pack – Fun at the beach,4.1
328,36.5878,4.4,76102.0,Thor's Weapon Quest,4.4
329,9.99,2.0,41609.0,Chewbacca™,3.0
330,31.7078,5.0,76096.0,Superman™ & Krypto™ Team-Up,5.0
331,19.99,5.0,31075.0,Outback Adventures,4.0
332,79.23899999999998,4.9,10507.0,My First Train Set,4.7
333,30.498,4.7,75528.0,Rey,4.7
334,231.7878,4.7,60052.0,Cargo Train,4.4
335,20.298,3.8,75197.0,First Order Specialists Battle Pack,4.1
336,176.8878,3.2,76105.0,The Hulkbuster: Ultron Edition,3.8
337,21.6,5.0,21141.0,The Zombie Cave,5.0
338,30.4878,4.7,10736.0,Anna & Elsa's Frozen Playground,4.7
339,48.7878,3.6,60154.0,Bus Station,3.3
340,51.87000000000001,5.0,10827.0,Mickey & Friends Beach House,5.0
341,12.1878,5.0,10732.0,Guido and Luigi's Pit Stop,5.0
342,9.99,1.0,41600.0,Aquaman™,4.0
343,12.1878,5.0,41606.0,Star-Lord,5.0
344,36.5878,4.4,70609.0,Manta Ray Bomber,4.3
345,47.5678,4.8,76077.0,Iron Man: Detroit Steel Strikes,4.6
346,109.7878,4.5,75179.0,Kylo Ren's TIE Fighter™,4.6
347,89.88,4.7,70632.0,Quake Mech,4.5
348,3.0378000000000003,4.0,630.0,Brick Separator,4.8
349,73.139,5.0,10745.0,Florida 500 Final Race,5.0
350,24.3878,5.0,41186.0,Azari & the Goblin Forest Escape,5.0
351,38.9922,5.0,21143.0,The Nether Portal,5.0
352,109.7878,4.8,70616.0,Ice Tank,4.8
353,36.5878,3.8,41311.0,Heartlake Pizzeria,4.1
354,121.9878,4.4,10242.0,MINI Cooper,4.7
355,311.88,4.2,42056.0,Porsche 911 GT3 RS,4.7
356,109.7878,4.5,75179.0,Kylo Ren's TIE Fighter™,4.6
357,170.7878,4.5,42069.0,Extreme Adventure,4.9
358,75.9924,4.7,70614.0,Lightning Jet,5.0
359,29.99,3.6,70919.0,The Justice League™ Anniversary Party,3.2
360,14.8122,5.0,41190.0,Emily Jones & the Eagle Getaway,5.0
361,18.2878,4.3,42057.0,Ultralight Helicopter,4.7
362,103.87,3.9,10249.0,Winter Toy Shop,3.8
363,42.639,4.5,75183.0,Darth Vader™ Transformation,4.7
364,329.3878,3.7,42070.0,6x6 All Terrain Tow Truck,3.5
365,19.4922,4.3,10694.0,LEGO® Creative Supplement Bright,4.5
366,12.138,2.0,41609.0,Chewbacca™,3.0
367,12.1878,4.0,70635.0,Jay - Spinjitzu Master,4.0
368,60.9878,4.4,70906.0,The Joker™ Notorious Lowrider,4.7
369,12.586,4.8,75160.0,U-Wing™ Microfighter,4.8
370,2.8971,4.0,630.0,Brick Separator,4.8
371,42.5929,4.2,70610.0,Flying Jelly Sub,4.6
372,20.986,4.0,71343.0,The Powerpuff Girls™ Fun Pack,5.0
373,18.2878,3.0,10809.0,Police Patrol,4.0
374,24.3878,3.0,10877.0,Belle´s Tea Party,4.0
375,20.986,3.6,71217.0,Zane Fun Pack,4.0
376,12.1878,2.0,41609.0,Chewbacca™,3.0
377,9.99,5.0,10748.0,Emma's Pet Party,5.0
378,18.258,4.8,75884.0,1968 Ford Mustang Fastback,4.9
379,39.99,4.5,21126.0,The Wither,5.0
380,30.3924,4.4,21123.0,The Iron Golem,4.6
381,54.83900000000001,5.0,41323.0,Snow Resort Chalet,5.0
382,231.7878,4.9,10247.0,Ferris Wheel,4.9
